clause,label
"Mutual NDA – revised 4 May 2018 1 Barclays Commercial, Innovation & Technology Legal ______________________________________ NON-DISCLOSURE AGREEMENT ______________________________________ Note: This document is a Non-Disclosure Agreement only",Confidentiality
A separate contract will be required whenever: - goods or services are being provided by or to Barclays; - any payment is being made by or to Barclays; - any personal data is being transferred by or to Barclays; or - any intellectual property is being created or licensed by either party to the other (including any rights to use Barclays’ name or logo),Termination
"Barclays: Name and company registration number: (choose the applicable Barclays contracting entity) Registered address: 1 Churchill Place, London, E14 5HP Counterparty: Name: (Full corporate or personal name of other party) Registered address: (or home address where individual) Country of registration: (leave blank where counterparty is an individual) Company registration number: (leave blank where counterparty is an individual) Effective Date: (Date from which information is first being disclosed under this agreement – this can start before, after or on the date of signature) Project: (Details of the proposal/project to which this agreement applies, e.g",Payment
"“Evaluations by Barclays of the Counterparty’s [X] product”, “Discussions for the development of an alternative [Y] system”, “Discussions on how Barclays can collaborate with [X] for the purposes of [Y]”) Barclays and the Counterparty have entered into discussions regarding the Project and it is envisaged that each party may from time to time receive Information (as defined below) relating to the other in respect thereof",Liability
"The parties have agreed that any dealings between them shall be subject to this Agreement, the terms of which are contained on the following pages",Other
Executed by the parties or their respective duly authorised representatives on the date of this Agreement,
"For and on behalf of Barclays: For and on behalf of the Counterparty: Signature: Name: Title: Date: Barclays Services Limited (Registered Number 01767980) Barclays Bank PLC (Registered Number 1026167) Barclays Bank UK PLC (Registered Number 09740322) Mutual NDA – revised 4 May 2018 2 Barclays Commercial, Innovation & Technology Legal TERMS OF NON-DISCLOSURE AGREEMENT 1 Definitions and Interpretation 1.1 In this Agreement the following definitions shall apply: Affiliate means, in relation to a party, any person or entity Controlling, Controlled by or under common Control with such party from time to time; Barclays Competitor means any bank or building society, or any other entity that carries on banking services, insurance services, credit or debit card issuing, card acquiring services, payment services, asset management or investment banking, or any entity Controlled by, Controlling, or under common Control of, any such entity; Confidential Information means Information relating to one party or any of its Related Parties (Disclosing Party) (and/or the business carried on or proposed or intended to be carried on by the Disclosing Party) which is made available in connection with the Project to the other party (Receiving Party) (or any of its Related Parties) by the Disclosing Party (or any of its Related Parties), whether on or after the Effective Date, including any information, analysis or specifications derived from, containing or reflecting such information, but excluding any Information that the Receiving Party could not reasonably be expected to consider to be confidential or commercially sensitive; Control means the power, direct or indirect, to direct or cause the direction of the management and policies of such entity whether by contract, ownership of shares, membership of the board of directors, agreement or otherwise and, in any event and without limitation of the foregoing, any entity owning more than 30% of the voting securities of a second entity shall be deemed to control that second entity",
"The terms Controlling and Controlled shall have a corresponding meaning; Information means all information including, without limitation, any Intellectual Property Rights, information relating to systems, operations, plans, intentions, market opportunities, customers, suppliers, know-how, trade secrets and business affairs, business methods and business concepts in whatever form, whether in oral, tangible or in documented form and, if in tangible or documented form, whether marked or identified as being proprietary or not; Intellectual Property Rights means: (a) any copyright, design rights, patents, Inventions, logos, business names, service marks and trade marks, Internet domain names, moral rights, rights in databases, data, source codes, reports, drawings, specifications, know how, business methods, trade secrets, semi-conductor rights, topography rights, whether registered or unregistered, rights in the nature of unfair competition and the right to sue for passing off; (b) applications for registration and the right to apply for registration for any of these rights; and (c) all other intellectual property rights and equivalent or similar forms of protection, existing anywhere in the world; Invention means any invention, idea, discovery, development, improvement or innovation made, whether or not patentable or capable of registration, and whether or not recorded in any medium; Permitted Purpose means any discussions or negotiations between the parties concerning the Project; Related Party means, in relation to either party, any Affiliate of that party, or any director, officer, employee, agent, professional adviser (including solicitors, auditors, insurers and accountants), contractor or subcontractor of that party or of any Affiliate of that party",
"2 Confidential Information 2.1 The Receiving Party shall treat and keep all Confidential Information as secret and confidential and will not, without the Disclosing Party’s written consent, directly or indirectly communicate or disclose (whether in writing or orally or in any other manner) Confidential Information to any other person other than in accordance with the terms of this Agreement",
2.2 The Receiving Party shall only use the Confidential Information for the Permitted Purpose,
